nearest_warehouse,date,total_quantity
bakers,2019-01-06,8
bakers,2019-01-13,20
bakers,2019-01-20,7
bakers,2019-01-27,9
bakers,2019-02-03,0
bakers,2019-02-10,4
bakers,2019-02-17,3
bakers,2019-02-24,10
bakers,2019-03-03,11
bakers,2019-03-10,5
bakers,2019-03-17,10
bakers,2019-03-24,12
bakers,2019-03-31,9
bakers,2019-04-07,7
bakers,2019-04-14,7
bakers,2019-04-21,6
bakers,2019-04-28,12
bakers,2019-05-05,11
bakers,2019-05-12,6
bakers,2019-05-19,5
bakers,2019-05-26,13
bakers,2019-06-02,23
bakers,2019-06-09,5
bakers,2019-06-16,12
bakers,2019-06-23,9
bakers,2019-06-30,7
bakers,2019-07-07,8
bakers,2019-07-14,18
bakers,2019-07-21,8
bakers,2019-07-28,2
bakers,2019-08-04,21
bakers,2019-08-11,0
bakers,2019-08-18,10
bakers,2019-08-25,7
bakers,2019-09-01,14
bakers,2019-09-08,17
bakers,2019-09-15,17
bakers,2019-09-22,15
bakers,2019-09-29,16
bakers,2019-10-06,13
bakers,2019-10-13,10
bakers,2019-10-20,24
bakers,2019-10-27,9
bakers,2019-11-03,12
bakers,2019-11-10,8
bakers,2019-11-17,20
bakers,2019-11-24,13
bakers,2019-12-01,0
bakers,2019-12-08,3
bakers,2019-12-15,5
bakers,2019-12-22,9
bakers,2019-12-29,9
nickolson,2019-01-06,10
nickolson,2019-01-13,20
nickolson,2019-01-20,32
nickolson,2019-01-27,19
nickolson,2019-02-03,17
nickolson,2019-02-10,5
nickolson,2019-02-17,10
nickolson,2019-02-24,26
nickolson,2019-03-03,31
nickolson,2019-03-10,8
nickolson,2019-03-17,4
nickolson,2019-03-24,19
nickolson,2019-03-31,2
nickolson,2019-04-07,13
nickolson,2019-04-14,27
nickolson,2019-04-21,13
nickolson,2019-04-28,18
nickolson,2019-05-05,13
nickolson,2019-05-12,8
nickolson,2019-05-19,21
nickolson,2019-05-26,14
nickolson,2019-06-02,3
nickolson,2019-06-09,0
nickolson,2019-06-16,10
nickolson,2019-06-23,20
nickolson,2019-06-30,17
nickolson,2019-07-07,13
nickolson,2019-07-14,10
nickolson,2019-07-21,14
nickolson,2019-07-28,8
nickolson,2019-08-04,9
nickolson,2019-08-11,24
nickolson,2019-08-18,23
nickolson,2019-08-25,6
nickolson,2019-09-01,23
nickolson,2019-09-08,19
nickolson,2019-09-15,22
nickolson,2019-09-22,20
nickolson,2019-09-29,20
nickolson,2019-10-06,10
nickolson,2019-10-13,15
nickolson,2019-10-20,28
nickolson,2019-10-27,21
nickolson,2019-11-03,24
nickolson,2019-11-10,8
nickolson,2019-11-17,22
nickolson,2019-11-24,7
nickolson,2019-12-01,12
nickolson,2019-12-08,19
nickolson,2019-12-15,10
nickolson,2019-12-22,5
nickolson,2019-12-29,7
thompson,2019-01-06,5
thompson,2019-01-13,23
thompson,2019-01-20,10
thompson,2019-01-27,21
thompson,2019-02-03,22
thompson,2019-02-10,16
thompson,2019-02-17,21
thompson,2019-02-24,15
thompson,2019-03-03,38
thompson,2019-03-10,7
thompson,2019-03-17,13
thompson,2019-03-24,12
thompson,2019-03-31,6
thompson,2019-04-07,23
thompson,2019-04-14,21
thompson,2019-04-21,12
thompson,2019-04-28,30
thompson,2019-05-05,33
thompson,2019-05-12,15
thompson,2019-05-19,27
thompson,2019-05-26,9
thompson,2019-06-02,8
thompson,2019-06-09,30
thompson,2019-06-16,22
thompson,2019-06-23,22
thompson,2019-06-30,16
thompson,2019-07-07,7
thompson,2019-07-14,13
thompson,2019-07-21,11
thompson,2019-07-28,21
thompson,2019-08-04,15
thompson,2019-08-11,9
thompson,2019-08-18,10
thompson,2019-08-25,14
thompson,2019-09-01,5
thompson,2019-09-08,9
thompson,2019-09-15,24
thompson,2019-09-22,20
thompson,2019-09-29,16
thompson,2019-10-06,17
thompson,2019-10-13,20
thompson,2019-10-20,17
thompson,2019-10-27,11
thompson,2019-11-03,9
thompson,2019-11-10,0
thompson,2019-11-17,19
thompson,2019-11-24,36
thompson,2019-12-01,0
thompson,2019-12-08,6
thompson,2019-12-15,13
thompson,2019-12-22,35
thompson,2019-12-29,11
thompson,2020-01-05,8
